COMMENT,Currency,NOR_DRVTS,Measure_Type,BNK_OR_TRAD,Area_Operation,DMID,TIME_PERIOD
N_A,INR,IRS_FCY_IN_USD_LIBOR,TRBP,N_A,GL_OP,S2792,2019-Q2
N_A,INR,IRS_FCY_IN_USD_LIBOR,TABR,N_A,GL_OP,S2793,2019-Q2
N_A,INR,IRS_FCY_IN_USD_LIBOR,HABP,N_A,GL_OP,S2794,2019-Q2
N_A,INR,IRS_FCY_IN_USD_LIBOR,HABR,N_A,GL_OP,S2795,2019-Q2
N_A,INR,IRS_FCY_IN_USD_LIBOR,GRREC,TR_B,GL_OP,S2797,2019-Q2
N_A,INR,IRS_FCY_IN_USD_LIBOR,GRREC,BK_B,GL_OP,S2798,2019-Q2
N_A,INR,IRS_FCY_IN_USD_LIBOR,GRPD,TR_B,GL_OP,S2800,2019-Q2
N_A,INR,IRS_FCY_IN_USD_LIBOR,GRPD,BK_B,GL_OP,S2801,2019-Q2
N_A,INR,IRS_FCY_IN_USD_LIBOR,NPPVBP,N_A,GL_OP,S2804,2019-Q2
N_A,N_A,IRS_FCY_IN_USD_LIBOR,REM,N_A,GL_OP,S2805,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,TRBP,N_A,GL_OP,S2806,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,TABR,N_A,GL_OP,S2807,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,HABP,N_A,GL_OP,S2808,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,HABR,N_A,GL_OP,S2809,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,GRREC,TR_B,GL_OP,S2811,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,GRREC,BK_B,GL_OP,S2812,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,GRPD,TR_B,GL_OP,S2814,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,GRPD,BK_B,GL_OP,S2815,2019-Q2
N_A,INR,IRS_FCY_IN_USD_OTH,NPPVBP,N_A,GL_OP,S2818,2019-Q2
N_A,N_A,IRS_FCY_IN_USD_OTH,REM,N_A,GL_OP,S2819,2019-Q2
