Agency,EntryPoint,Query,ResponseCode
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/userdefinedoperatorscheme/all/all/latest/all,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/customtypescheme/all/all/latest/all,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/namepersonalisationscheme/all/all/latest/all,200
IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,/namealiasscheme/all/all/latest/all,200
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/dataflow/all/all/latest,200
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/datastructure/all/all/latest,200
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/metadatastructure/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/metadataflow/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/provisionagreement/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/structureset/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/process/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/categorisation/all/all/latest,200
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/contentconstraint/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/actualconstraint/all/all/latest,400
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/allowedconstraint/all/all/latest,400
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/attachmentconstraint/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/structure/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/conceptscheme/all/all/latest,200
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/codelist/all/all/latest,200
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/categoryscheme/all/all/latest,200
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/hierarchicalcodelist/all/all/latest,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/organisationscheme/all/all/latest,400
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/agencyscheme/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/dataproviderscheme/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/dataconsumerscheme/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/organisationunitscheme/all/all/latest,501
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/transformationscheme/all/all/latest,400
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/rulesetscheme/all/all/latest,400
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/userdefinedoperatorscheme/all/all/latest,400
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/customtypescheme/all/all/latest,400
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/namepersonalisationscheme/all/all/latest,400
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/namealiasscheme/all/all/latest,400
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/conceptscheme/all/all/latest/all,404
